opcion,votos,provincia,municipio
Votos en blanco,333,Barcelona,Mataró
JxSí,23371,Barcelona,Mataró
C's,14225,Barcelona,Mataró
PSC,10010,Barcelona,Mataró
Abstención,884,Barcelona,Matadepera
Votos nulos,11,Barcelona,Matadepera
Votos en blanco,31,Barcelona,Matadepera
JxSí,4079,Barcelona,Matadepera
C's,595,Barcelona,Matadepera
Abstención,1343,Barcelona,Masquefa
Votos nulos,25,Barcelona,Masquefa
Votos en blanco,21,Barcelona,Masquefa
JxSí,1616,Barcelona,Masquefa
Abstención,3236,Barcelona,"Masnou, el"
Votos nulos,47,Barcelona,"Masnou, el"
Votos en blanco,75,Barcelona,"Masnou, el"
JxSí,6811,Barcelona,"Masnou, el"
Abstención,371,Barcelona,"Masies de Voltregà, les"
Votos nulos,11,Barcelona,"Masies de Voltregà, les"
Abstención,69,Barcelona,"Masies de Roda, les"
Votos en blanco,1,Barcelona,"Masies de Roda, les"
JxSí,402,Barcelona,"Masies de Roda, les"
CUP,34,Barcelona,"Masies de Roda, les"
PSC,20,Barcelona,"Masies de Roda, les"
C's,228,Barcelona,Moià
PP,177,Barcelona,Moià
CatSíqueesPot,140,Barcelona,Moià
unio.cat,87,Barcelona,Moià
PACMA,14,Barcelona,Moià
Abstención,789,Barcelona,Martorelles
Votos nulos,14,Barcelona,Martorelles
Votos en blanco,13,Barcelona,Martorelles
JxSí,1016,Barcelona,Martorelles
C's,639,Barcelona,Martorelles
CUP,204,Barcelona,Mediona
PSC,142,Barcelona,Mediona
C's,97,Barcelona,Mediona
CatSíqueesPot,97,Barcelona,Mediona
PP,83,Barcelona,Mediona
unio.cat,21,Barcelona,Mediona
PACMA,8,Barcelona,Mediona
RECORTES CERO-ELS VERDS,7,Barcelona,Mediona
PP,5993,Barcelona,Mataró
CatSíqueesPot,5831,Barcelona,Mataró
CUP,4490,Barcelona,Mataró
unio.cat,1346,Barcelona,Mataró
PACMA,614,Barcelona,Mataró
RECORTES CERO-ELS VERDS,276,Barcelona,Mataró
PP,349,Barcelona,Matadepera
unio.cat,327,Barcelona,Matadepera
CUP,278,Barcelona,Matadepera
PSC,110,Barcelona,Matadepera
CatSíqueesPot,91,Barcelona,Matadepera
PACMA,22,Barcelona,Matadepera
RECORTES CERO-ELS VERDS,2,Barcelona,Matadepera
C's,1048,Barcelona,Masquefa
PSC,650,Barcelona,Masquefa
CatSíqueesPot,540,Barcelona,Masquefa
PP,410,Barcelona,Masquefa
CUP,338,Barcelona,Masquefa
unio.cat,103,Barcelona,Masquefa
PACMA,50,Barcelona,Masquefa
RECORTES CERO-ELS VERDS,27,Barcelona,Masquefa
C's,2111,Barcelona,"Masnou, el"
CUP,1473,Barcelona,"Masnou, el"
CatSíqueesPot,1173,Barcelona,"Masnou, el"
PSC,1107,Barcelona,"Masnou, el"
PP,989,Barcelona,"Masnou, el"
unio.cat,334,Barcelona,"Masnou, el"
PACMA,105,Barcelona,"Masnou, el"
RECORTES CERO-ELS VERDS,35,Barcelona,"Masnou, el"
Votos en blanco,10,Barcelona,"Masies de Voltregà, les"
JxSí,1358,Barcelona,"Masies de Voltregà, les"
CUP,179,Barcelona,"Masies de Voltregà, les"
PSC,178,Barcelona,"Masies de Voltregà, les"
C's,130,Barcelona,"Masies de Voltregà, les"
PP,100,Barcelona,"Masies de Voltregà, les"
CatSíqueesPot,54,Barcelona,"Masies de Voltregà, les"
unio.cat,50,Barcelona,"Masies de Voltregà, les"
PACMA,4,Barcelona,"Masies de Voltregà, les"
RECORTES CERO-ELS VERDS,2,Barcelona,"Masies de Voltregà, les"
unio.cat,17,Barcelona,"Masies de Roda, les"
C's,15,Barcelona,"Masies de Roda, les"
PP,14,Barcelona,"Masies de Roda, les"
CatSíqueesPot,9,Barcelona,"Masies de Roda, les"
RECORTES CERO-ELS VERDS,2,Barcelona,"Masies de Roda, les"
PACMA,1,Barcelona,"Masies de Roda, les"
RECORTES CERO-ELS VERDS,4,Barcelona,Moià
PSC,408,Barcelona,Martorelles
CatSíqueesPot,371,Barcelona,Martorelles
CUP,223,Barcelona,Martorelles
PP,214,Barcelona,Martorelles
unio.cat,73,Barcelona,Martorelles
PACMA,39,Barcelona,Martorelles
RECORTES CERO-ELS VERDS,7,Barcelona,Martorelles
Abstención,4448,Barcelona,Martorell
Votos nulos,60,Barcelona,Martorell
Votos en blanco,68,Barcelona,Martorell
JxSí,4256,Barcelona,Martorell
Abstención,36,Barcelona,Marganell
JxSí,114,Barcelona,Marganell
CUP,22,Barcelona,Marganell
Abstención,12099,Barcelona,Manresa
Votos nulos,150,Barcelona,Manresa
Votos en blanco,219,Barcelona,Manresa
JxSí,21608,Barcelona,Manresa
Abstención,2751,Barcelona,Manlleu
Votos nulos,29,Barcelona,Manlleu
Votos en blanco,63,Barcelona,Manlleu
JxSí,6031,Barcelona,Manlleu
C's,1215,Barcelona,Manlleu
Abstención,16,Barcelona,Malla
JxSí,155,Barcelona,Malla
CUP,19,Barcelona,Malla
Abstención,3345,Barcelona,Malgrat de Mar
Votos nulos,50,Barcelona,Malgrat de Mar
Votos en blanco,60,Barcelona,Malgrat de Mar
JxSí,4120,Barcelona,Malgrat de Mar
C's,1664,Barcelona,Malgrat de Mar
Abstención,8,Lleida,Fulleda
Votos en blanco,2,Lleida,Fulleda
JxSí,56,Lleida,Fulleda
PP,10,Lleida,Fulleda
Abstención,202,Lleida,"Fuliola, la"
Votos nulos,3,Lleida,"Fuliola, la"
Votos en blanco,3,Lleida,"Fuliola, la"
JxSí,460,Lleida,"Fuliola, la"
CUP,76,Lleida,"Fuliola, la"
C's,2982,Barcelona,Martorell
PSC,2266,Barcelona,Martorell
CatSíqueesPot,1710,Barcelona,Martorell
PP,1094,Barcelona,Martorell
CUP,988,Barcelona,Martorell
unio.cat,297,Barcelona,Martorell
PACMA,114,Barcelona,Martorell
RECORTES CERO-ELS VERDS,40,Barcelona,Martorell
unio.cat,16,Barcelona,Marganell
PSC,10,Barcelona,Marganell
CatSíqueesPot,9,Barcelona,Marganell
PP,7,Barcelona,Marganell
C's,3,Barcelona,Marganell
RECORTES CERO-ELS VERDS,1,Barcelona,Marganell
C's,5012,Barcelona,Manresa
PSC,3771,Barcelona,Manresa
CUP,3454,Barcelona,Manresa
PP,2362,Barcelona,Manresa
CatSíqueesPot,2123,Barcelona,Manresa
unio.cat,966,Barcelona,Manresa
PACMA,182,Barcelona,Manresa
RECORTES CERO-ELS VERDS,91,Barcelona,Manresa
PSC,851,Barcelona,Manlleu
CUP,783,Barcelona,Manlleu
PP,517,Barcelona,Manlleu
CatSíqueesPot,446,Barcelona,Manlleu
unio.cat,209,Barcelona,Manlleu
PACMA,27,Barcelona,Manlleu
RECORTES CERO-ELS VERDS,14,Barcelona,Manlleu
PP,13,Barcelona,Malla
unio.cat,6,Barcelona,Malla
C's,5,Barcelona,Malla
CatSíqueesPot,2,Barcelona,Malla
PSC,1,Barcelona,Malla
PSC,1580,Barcelona,Malgrat de Mar
CatSíqueesPot,800,Barcelona,Malgrat de Mar
PP,774,Barcelona,Malgrat de Mar
CUP,687,Barcelona,Malgrat de Mar
unio.cat,191,Barcelona,Malgrat de Mar
PACMA,71,Barcelona,Malgrat de Mar
RECORTES CERO-ELS VERDS,36,Barcelona,Malgrat de Mar
unio.cat,3,Lleida,Fulleda
C's,2,Lleida,Fulleda
PSC,2,Lleida,Fulleda
CUP,1,Lleida,Fulleda
CatSíqueesPot,1,Lleida,Fulleda
PP,72,Lleida,"Fuliola, la"
PSC,43,Lleida,"Fuliola, la"
unio.cat,21,Lleida,"Fuliola, la"
C's,20,Lleida,"Fuliola, la"
CatSíqueesPot,13,Lleida,"Fuliola, la"
GANEMOS,2,Lleida,"Fuliola, la"
Abstención,15,Lleida,Foradada
Votos en blanco,1,Lleida,Foradada
JxSí,88,Lleida,Foradada
Abstención,115,Lleida,Fondarella
Votos nulos,2,Lleida,Fondarella
Votos en blanco,11,Lleida,Fondarella
JxSí,333,Lleida,Fondarella
Abstención,28,Lleida,"Floresta, la"
Votos nulos,1,Lleida,"Floresta, la"
JxSí,81,Lleida,"Floresta, la"
Abstención,49,Lleida,Fígols i Alinyà
Votos nulos,1,Lleida,Fígols i Alinyà
Votos en blanco,3,Lleida,Fígols i Alinyà
JxSí,117,Lleida,Fígols i Alinyà
CUP,23,Lleida,Fígols i Alinyà
Abstención,18,Lleida,Farrera
JxSí,46,Lleida,Farrera
CUP,31,Lleida,Farrera
PP,3,Lleida,Farrera
Abstención,10,Lleida,Esterri de Cardós
Votos en blanco,1,Lleida,Esterri de Cardós
JxSí,37,Lleida,Esterri de Cardós
CUP,8,Lleida,Esterri de Cardós
unio.cat,4,Lleida,Esterri de Cardós
PSC,1,Lleida,Esterri de Cardós
Abstención,83,Lleida,Esterri d'Àneu
Votos nulos,4,Lleida,Esterri d'Àneu
JxSí,323,Lleida,Esterri d'Àneu
CUP,56,Lleida,Esterri d'Àneu
PSC,22,Lleida,Esterri d'Àneu
Abstención,24,Lleida,Estaràs
Votos nulos,1,Lleida,Estaràs
JxSí,78,Lleida,Estaràs
PP,16,Lleida,Estaràs
CUP,14,Lleida,Estaràs
CUP,13,Lleida,Foradada
PP,12,Lleida,Foradada
C's,3,Lleida,Foradada
PSC,2,Lleida,Foradada
CatSíqueesPot,2,Lleida,Foradada
unio.cat,1,Lleida,Foradada
C's,58,Lleida,Fondarella
CUP,37,Lleida,Fondarella
PSC,32,Lleida,Fondarella
PP,25,Lleida,Fondarella
CatSíqueesPot,11,Lleida,Fondarella
unio.cat,11,Lleida,Fondarella
PACMA,2,Lleida,Fondarella
CUP,11,Lleida,"Floresta, la"
unio.cat,4,Lleida,"Floresta, la"
C's,2,Lleida,"Floresta, la"
PP,2,Lleida,"Floresta, la"
PSC,1,Lleida,"Floresta, la"
PACMA,1,Lleida,"Floresta, la"
CatSíqueesPot,1,Lleida,"Floresta, la"
PSC,13,Lleida,Fígols i Alinyà
C's,7,Lleida,Fígols i Alinyà
unio.cat,7,Lleida,Fígols i Alinyà
PP,6,Lleida,Fígols i Alinyà
CatSíqueesPot,1,Lleida,Fígols i Alinyà
GANEMOS,1,Lleida,Fígols i Alinyà
CatSíqueesPot,2,Lleida,Farrera
C's,2,Lleida,Farrera
PSC,1,Lleida,Farrera
PACMA,1,Lleida,Farrera
RECORTES CERO-ELS VERDS,1,Lleida,Farrera
CatSíqueesPot,1,Lleida,Esterri de Cardós
CatSíqueesPot,13,Lleida,Esterri d'Àneu
C's,11,Lleida,Esterri d'Àneu
PP,10,Lleida,Esterri d'Àneu
unio.cat,8,Lleida,Esterri d'Àneu
PACMA,1,Lleida,Esterri d'Àneu
Abstención,9,Lleida,Estamariu
JxSí,76,Lleida,Estamariu
CUP,3,Lleida,Estamariu
PSC,3,Lleida,Estamariu
C's,2,Lleida,Estamariu
Abstención,61,Lleida,Espot
Votos en blanco,2,Lleida,Espot
JxSí,164,Lleida,Espot
PSC,15,Lleida,Espot
unio.cat,11,Lleida,Espot
CUP,9,Lleida,Espot
Abstención,54,Lleida,"Espluga Calba, l'"
Votos nulos,2,Lleida,"Espluga Calba, l'"
JxSí,169,Lleida,"Espluga Calba, l'"
CUP,39,Lleida,"Espluga Calba, l'"
PP,21,Lleida,"Espluga Calba, l'"
Abstención,52,Lleida,Cubells
Votos nulos,2,Lleida,Cubells
Votos en blanco,2,Lleida,Cubells
JxSí,195,Lleida,Cubells
PP,18,Lleida,Cubells
CUP,13,Lleida,Cubells
PSC,7,Lleida,Cubells
Abstención,163,Lleida,Corbins
Votos nulos,3,Lleida,Corbins
Votos en blanco,13,Lleida,Corbins
JxSí,564,Lleida,Corbins
CUP,75,Lleida,Corbins
Abstención,95,Lleida,Conca de Dalt
Votos nulos,1,Lleida,Conca de Dalt
JxSí,189,Lleida,Conca de Dalt
CUP,48,Lleida,Conca de Dalt
C's,11,Lleida,Conca de Dalt
Abstención,48,Lleida,"Coma i la Pedra, la"
Votos nulos,1,Lleida,"Coma i la Pedra, la"
JxSí,134,Lleida,"Coma i la Pedra, la"
CUP,18,Lleida,"Coma i la Pedra, la"
C's,9,Lleida,"Coma i la Pedra, la"
C's,12,Lleida,Estaràs
PSC,2,Lleida,Estaràs
CatSíqueesPot,2,Lleida,Estaràs
unio.cat,2,Lleida,Estaràs
unio.cat,2,Lleida,Estamariu
CatSíqueesPot,1,Lleida,Estamariu
C's,7,Lleida,Espot
PP,5,Lleida,Espot
CatSíqueesPot,2,Lleida,Espot
PACMA,1,Lleida,Espot
RECORTES CERO-ELS VERDS,1,Lleida,Espot
PSC,11,Lleida,"Espluga Calba, l'"
unio.cat,9,Lleida,"Espluga Calba, l'"
C's,7,Lleida,"Espluga Calba, l'"
CatSíqueesPot,6,Lleida,"Espluga Calba, l'"
PACMA,1,Lleida,"Espluga Calba, l'"
C's,7,Lleida,Cubells
unio.cat,5,Lleida,Cubells
CatSíqueesPot,4,Lleida,Cubells
RECORTES CERO-ELS VERDS,1,Lleida,Cubells
C's,57,Lleida,Corbins
PSC,43,Lleida,Corbins
PP,28,Lleida,Corbins
unio.cat,28,Lleida,Corbins
CatSíqueesPot,25,Lleida,Corbins
GANEMOS,2,Lleida,Corbins
PACMA,1,Lleida,Corbins
RECORTES CERO-ELS VERDS,1,Lleida,Corbins
CatSíqueesPot,8,Lleida,Conca de Dalt
PSC,7,Lleida,Conca de Dalt
PP,7,Lleida,Conca de Dalt
unio.cat,5,Lleida,Conca de Dalt
unio.cat,8,Lleida,"Coma i la Pedra, la"
CatSíqueesPot,5,Lleida,"Coma i la Pedra, la"
PP,4,Lleida,"Coma i la Pedra, la"
PACMA,2,Lleida,"Coma i la Pedra, la"
PSC,1,Lleida,"Coma i la Pedra, la"
Abstención,110,Lleida,Coll de Nargó
JxSí,236,Lleida,Coll de Nargó
Abstención,36,Lleida,"Cogul, el"
Votos en blanco,1,Lleida,"Cogul, el"
JxSí,88,Lleida,"Cogul, el"
PSC,6,Lleida,"Cogul, el"
Abstención,15,Lleida,Clariana de Cardener
JxSí,64,Lleida,Clariana de Cardener
CUP,23,Lleida,Clariana de Cardener
unio.cat,8,Lleida,Clariana de Cardener
PSC,4,Lleida,Clariana de Cardener
Abstención,23,Lleida,Ciutadilla
Votos nulos,5,Lleida,Ciutadilla
JxSí,116,Lleida,Ciutadilla
CUP,11,Lleida,Ciutadilla
PSC,7,Lleida,Ciutadilla
PP,6,Lleida,Ciutadilla
Abstención,138,Lleida,Cervià de les Garrigues
Abstención,1454,Lleida,Cervera
Votos nulos,22,Lleida,Cervera
Votos en blanco,31,Lleida,Cervera
JxSí,2557,Lleida,Cervera
C's,459,Lleida,Cervera
Abstención,11,Lleida,Cava
JxSí,34,Lleida,Cava
CUP,4,Lleida,Cava
unio.cat,2,Lleida,Cava
Abstención,131,Lleida,Castellserà
Votos nulos,1,Lleida,Castellserà
Votos en blanco,4,Lleida,Castellserà
JxSí,480,Lleida,Castellserà
CUP,62,Lleida,Castellserà
PSC,45,Lleida,Castellserà
CUP,39,Lleida,Coll de Nargó
C's,17,Lleida,Coll de Nargó
unio.cat,17,Lleida,Coll de Nargó
PSC,15,Lleida,Coll de Nargó
PP,13,Lleida,Coll de Nargó
CatSíqueesPot,8,Lleida,Coll de Nargó
RECORTES CERO-ELS VERDS,2,Lleida,Coll de Nargó
CUP,6,Lleida,"Cogul, el"
C's,4,Lleida,"Cogul, el"
unio.cat,3,Lleida,"Cogul, el"
CatSíqueesPot,2,Lleida,"Cogul, el"
PP,1,Lleida,"Cogul, el"
PP,1,Lleida,Clariana de Cardener
PACMA,1,Lleida,Clariana de Cardener
RECORTES CERO-ELS VERDS,1,Lleida,Clariana de Cardener
unio.cat,5,Lleida,Ciutadilla
C's,4,Lleida,Ciutadilla
CatSíqueesPot,2,Lleida,Ciutadilla
Votos nulos,2,Lleida,Cervià de les Garrigues
Votos en blanco,4,Lleida,Cervià de les Garrigues
JxSí,328,Lleida,Cervià de les Garrigues
PSC,26,Lleida,Cervià de les Garrigues
CUP,19,Lleida,Cervià de les Garrigues
CatSíqueesPot,19,Lleida,Cervià de les Garrigues
C's,18,Lleida,Cervià de les Garrigues
PP,16,Lleida,Cervià de les Garrigues
unio.cat,14,Lleida,Cervià de les Garrigues
PACMA,3,Lleida,Cervià de les Garrigues
GANEMOS,1,Lleida,Cervià de les Garrigues
CUP,368,Lleida,Cervera
PP,348,Lleida,Cervera
PSC,283,Lleida,Cervera
CatSíqueesPot,164,Lleida,Cervera
unio.cat,144,Lleida,Cervera
PACMA,24,Lleida,Cervera
RECORTES CERO-ELS VERDS,7,Lleida,Cervera
GANEMOS,4,Lleida,Cervera
PP,1,Lleida,Cava
C's,30,Lleida,Castellserà
PP,26,Lleida,Castellserà
unio.cat,23,Lleida,Castellserà
CatSíqueesPot,12,Lleida,Castellserà
GANEMOS,4,Lleida,Castellserà
Abstención,104,Lleida,Castelló de Farfanya
Votos nulos,1,Lleida,Castelló de Farfanya
Votos en blanco,4,Lleida,Castelló de Farfanya
JxSí,240,Lleida,Castelló de Farfanya
CUP,32,Lleida,Castelló de Farfanya
PSC,17,Lleida,Castelló de Farfanya
PP,16,Lleida,Castelló de Farfanya
C's,12,Lleida,Castelló de Farfanya
unio.cat,12,Lleida,Castelló de Farfanya
CatSíqueesPot,7,Lleida,Castelló de Farfanya
GANEMOS,2,Lleida,Castelló de Farfanya
PACMA,1,Lleida,Castelló de Farfanya
RECORTES CERO-ELS VERDS,1,Lleida,Castelló de Farfanya
Abstención,94,Lleida,Castellnou de Seana
Votos nulos,3,Lleida,Castellnou de Seana
Votos en blanco,1,Lleida,Castellnou de Seana
JxSí,340,Lleida,Castellnou de Seana
Abstención,150,Lleida,Castelldans
Votos nulos,1,Lleida,Castelldans
Votos en blanco,7,Lleida,Castelldans
JxSí,316,Lleida,Castelldans
PP,70,Lleida,Castelldans
Abstención,229,Girona,Sant Pere Pescador
Votos nulos,3,Girona,Sant Pere Pescador
Votos en blanco,7,Girona,Sant Pere Pescador
JxSí,577,Girona,Sant Pere Pescador
CUP,69,Girona,Sant Pere Pescador
C's,65,Girona,Sant Pere Pescador
Abstención,84,Girona,Sant Pau de Segúries
Votos nulos,4,Girona,Sant Pau de Segúries
Votos en blanco,1,Girona,Sant Pau de Segúries
JxSí,358,Girona,Sant Pau de Segúries
CUP,30,Girona,Sant Pau de Segúries
Abstención,16,Girona,Sant Mori
Votos nulos,1,Girona,Sant Mori
Votos en blanco,1,Girona,Sant Mori
JxSí,61,Girona,Sant Mori
C's,20,Girona,Sant Mori
CUP,8,Girona,Sant Mori
Abstención,166,Girona,Sant Miquel de Fluvià
Votos nulos,2,Girona,Sant Miquel de Fluvià
Votos en blanco,5,Girona,Sant Miquel de Fluvià
JxSí,144,Girona,Sant Miquel de Fluvià
PSC,71,Girona,Sant Miquel de Fluvià
C's,70,Girona,Sant Miquel de Fluvià
PP,55,Girona,Sant Miquel de Fluvià
Abstención,30,Girona,Sant Miquel de Campmajor
Votos en blanco,3,Girona,Sant Miquel de Campmajor
JxSí,106,Girona,Sant Miquel de Campmajor
CUP,33,Lleida,Castellnou de Seana
PSC,24,Lleida,Castellnou de Seana
PP,19,Lleida,Castellnou de Seana
C's,15,Lleida,Castellnou de Seana
CatSíqueesPot,13,Lleida,Castellnou de Seana
unio.cat,9,Lleida,Castellnou de Seana
PACMA,3,Lleida,Castellnou de Seana
C's,63,Lleida,Castelldans
CUP,51,Lleida,Castelldans
PSC,31,Lleida,Castelldans
CatSíqueesPot,23,Lleida,Castelldans
unio.cat,19,Lleida,Castelldans
PP,38,Girona,Sant Pere Pescador
PSC,33,Girona,Sant Pere Pescador
CatSíqueesPot,21,Girona,Sant Pere Pescador
unio.cat,14,Girona,Sant Pere Pescador
PACMA,4,Girona,Sant Pere Pescador
RECORTES CERO-ELS VERDS,2,Girona,Sant Pere Pescador
C's,25,Girona,Sant Pau de Segúries
PP,20,Girona,Sant Pau de Segúries
CatSíqueesPot,15,Girona,Sant Pau de Segúries
PSC,14,Girona,Sant Pau de Segúries
unio.cat,10,Girona,Sant Pau de Segúries
PSC,8,Girona,Sant Mori
PP,4,Girona,Sant Mori
CatSíqueesPot,2,Girona,Sant Mori
CUP,31,Girona,Sant Miquel de Fluvià
CatSíqueesPot,18,Girona,Sant Miquel de Fluvià
unio.cat,11,Girona,Sant Miquel de Fluvià
PACMA,2,Girona,Sant Miquel de Fluvià
GANEMOS,1,Girona,Sant Miquel de Fluvià
RECORTES CERO-ELS VERDS,1,Girona,Sant Miquel de Fluvià
CUP,25,Girona,Sant Miquel de Campmajor
C's,4,Girona,Sant Miquel de Campmajor
PP,3,Girona,Sant Miquel de Campmajor
unio.cat,3,Girona,Sant Miquel de Campmajor
PACMA,2,Girona,Sant Miquel de Campmajor
CatSíqueesPot,1,Girona,Sant Miquel de Campmajor
Abstención,21,Girona,Sant Martí Vell
JxSí,103,Girona,Sant Martí Vell
CUP,22,Girona,Sant Martí Vell
C's,12,Girona,Sant Martí Vell
PSC,10,Girona,Sant Martí Vell
PP,4,Girona,Sant Martí Vell
CatSíqueesPot,4,Girona,Sant Martí Vell
unio.cat,2,Girona,Sant Martí Vell
Abstención,72,Girona,Sant Martí de Llémena
Votos nulos,4,Girona,Sant Martí de Llémena
Votos en blanco,3,Girona,Sant Martí de Llémena
JxSí,252,Girona,Sant Martí de Llémena
Abstención,25,Girona,Sant Llorenç de la Muga
Votos nulos,1,Girona,Sant Llorenç de la Muga
Votos en blanco,1,Girona,Sant Llorenç de la Muga
JxSí,93,Girona,Sant Llorenç de la Muga
C's,14,Girona,Sant Llorenç de la Muga
Abstención,157,Girona,Sant Julià del Llor i Bonmatí
Votos nulos,18,Girona,Sant Julià del Llor i Bonmatí
Votos en blanco,3,Girona,Sant Julià del Llor i Bonmatí
JxSí,532,Girona,Sant Julià del Llor i Bonmatí
C's,57,Girona,Sant Julià del Llor i Bonmatí
Abstención,401,Girona,Sant Julià de Ramis
Votos nulos,7,Girona,Sant Julià de Ramis
Votos en blanco,7,Girona,Sant Julià de Ramis
JxSí,1182,Girona,Sant Julià de Ramis
C's,340,Girona,Sant Julià de Ramis
Abstención,67,Girona,Sant Jordi Desvalls
Votos nulos,5,Girona,Sant Jordi Desvalls
Votos en blanco,2,Girona,Sant Jordi Desvalls
JxSí,332,Girona,Sant Jordi Desvalls
CUP,62,Girona,Sant Jordi Desvalls
C's,13,Girona,Sant Jordi Desvalls
Abstención,385,Girona,Sant Joan les Fonts
Votos nulos,7,Girona,Sant Joan les Fonts
Votos en blanco,12,Girona,Sant Joan les Fonts
JxSí,1347,Girona,Sant Joan les Fonts
CUP,175,Girona,Sant Joan les Fonts
PSC,120,Girona,Sant Joan les Fonts
Abstención,43,Girona,Sant Joan de Mollet
Votos nulos,1,Girona,Sant Joan de Mollet
Votos en blanco,5,Girona,Sant Joan de Mollet
JxSí,236,Girona,Sant Joan de Mollet
CUP,37,Girona,Sant Joan de Mollet
CUP,59,Girona,Sant Martí de Llémena
CatSíqueesPot,31,Girona,Sant Martí de Llémena
C's,12,Girona,Sant Martí de Llémena
PSC,7,Girona,Sant Martí de Llémena
PP,6,Girona,Sant Martí de Llémena
unio.cat,5,Girona,Sant Martí de Llémena
PIRATA.CAT/XDT,2,Girona,Sant Martí de Llémena
PACMA,1,Girona,Sant Martí de Llémena
CUP,13,Girona,Sant Llorenç de la Muga
PSC,9,Girona,Sant Llorenç de la Muga
unio.cat,4,Girona,Sant Llorenç de la Muga
CatSíqueesPot,3,Girona,Sant Llorenç de la Muga
PP,2,Girona,Sant Llorenç de la Muga
CUP,32,Girona,Sant Julià del Llor i Bonmatí
PSC,26,Girona,Sant Julià del Llor i Bonmatí
CatSíqueesPot,25,Girona,Sant Julià del Llor i Bonmatí
PP,20,Girona,Sant Julià del Llor i Bonmatí
unio.cat,16,Girona,Sant Julià del Llor i Bonmatí
PACMA,2,Girona,Sant Julià del Llor i Bonmatí
GANEMOS,2,Girona,Sant Julià del Llor i Bonmatí
PIRATA.CAT/XDT,1,Girona,Sant Julià del Llor i Bonmatí
RECORTES CERO-ELS VERDS,1,Girona,Sant Julià del Llor i Bonmatí
PSC,180,Girona,Sant Julià de Ramis
CUP,150,Girona,Sant Julià de Ramis
CatSíqueesPot,99,Girona,Sant Julià de Ramis
PP,73,Girona,Sant Julià de Ramis
unio.cat,32,Girona,Sant Julià de Ramis
PACMA,16,Girona,Sant Julià de Ramis
GANEMOS,2,Girona,Sant Julià de Ramis
PIRATA.CAT/XDT,1,Girona,Sant Julià de Ramis
PSC,12,Girona,Sant Jordi Desvalls
PP,11,Girona,Sant Jordi Desvalls
CatSíqueesPot,8,Girona,Sant Jordi Desvalls
unio.cat,3,Girona,Sant Jordi Desvalls
GANEMOS,1,Girona,Sant Jordi Desvalls
PP,70,Girona,Sant Joan les Fonts
C's,62,Girona,Sant Joan les Fonts
CatSíqueesPot,53,Girona,Sant Joan les Fonts
unio.cat,52,Girona,Sant Joan les Fonts
GANEMOS,3,Girona,Sant Joan les Fonts
PACMA,2,Girona,Sant Joan les Fonts
PSC,14,Girona,Sant Joan de Mollet
C's,14,Girona,Sant Joan de Mollet
PP,11,Girona,Sant Joan de Mollet
CatSíqueesPot,8,Girona,Sant Joan de Mollet
unio.cat,5,Girona,Sant Joan de Mollet
PIRATA.CAT/XDT,1,Girona,Sant Joan de Mollet
PACMA,1,Girona,Sant Joan de Mollet
Abstención,437,Girona,Sant Joan de les Abadesses
Votos nulos,6,Girona,Sant Joan de les Abadesses
Votos en blanco,21,Girona,Sant Joan de les Abadesses
JxSí,1581,Girona,Sant Joan de les Abadesses
Abstención,700,Girona,Sant Hilari Sacalm
Votos nulos,9,Girona,Sant Hilari Sacalm
Votos en blanco,15,Girona,Sant Hilari Sacalm
JxSí,2290,Girona,Sant Hilari Sacalm
Abstención,122,Girona,Sant Feliu de Buixalleu
Votos nulos,14,Girona,Sant Feliu de Buixalleu
JxSí,329,Girona,Sant Feliu de Buixalleu
CUP,185,Girona,Sant Joan de les Abadesses
PSC,171,Girona,Sant Joan de les Abadesses
C's,97,Girona,Sant Joan de les Abadesses
PP,92,Girona,Sant Joan de les Abadesses
CatSíqueesPot,48,Girona,Sant Joan de les Abadesses
unio.cat,48,Girona,Sant Joan de les Abadesses
PACMA,4,Girona,Sant Joan de les Abadesses
RECORTES CERO-ELS VERDS,4,Girona,Sant Joan de les Abadesses
PIRATA.CAT/XDT,1,Girona,Sant Joan de les Abadesses
GANEMOS,1,Girona,Sant Joan de les Abadesses
Abstención,92,Girona,Sant Jaume de Llierca
Votos en blanco,3,Girona,Sant Jaume de Llierca
JxSí,403,Girona,Sant Jaume de Llierca
CUP,43,Girona,Sant Jaume de Llierca
Abstención,360,Girona,Sant Gregori
Votos nulos,10,Girona,Sant Gregori
Votos en blanco,8,Girona,Sant Gregori
JxSí,1594,Girona,Sant Gregori
Abstención,37,Girona,Sant Ferriol
Votos nulos,1,Girona,Sant Ferriol
Votos en blanco,1,Girona,Sant Ferriol
JxSí,73,Girona,Sant Ferriol
Abstención,102,Girona,Sant Feliu de Pallerols
Votos en blanco,5,Girona,Sant Feliu de Pallerols
JxSí,669,Girona,Sant Feliu de Pallerols
Abstención,3750,Girona,Sant Feliu de Guíxols
Votos nulos,52,Girona,Sant Feliu de Guíxols
Votos en blanco,61,Girona,Sant Feliu de Guíxols
JxSí,5196,Girona,Sant Feliu de Guíxols
CUP,334,Girona,Sant Hilari Sacalm
PSC,270,Girona,Sant Hilari Sacalm
C's,126,Girona,Sant Hilari Sacalm
PP,101,Girona,Sant Hilari Sacalm
unio.cat,74,Girona,Sant Hilari Sacalm
CatSíqueesPot,70,Girona,Sant Hilari Sacalm
PACMA,9,Girona,Sant Hilari Sacalm
